date,close
2018-01-02 09:45:00,14.33
2018-01-02 10:00:00,14.28
2018-01-02 10:15:00,14.16
2018-01-02 10:30:00,14.2
2018-01-02 10:45:00,14.17
2018-01-02 11:00:00,14.19
2018-01-02 11:15:00,14.19
2018-01-02 11:30:00,14.18
2018-01-02 13:15:00,14.23
2018-01-02 13:30:00,14.25
2018-01-02 13:45:00,14.22
2018-01-02 14:00:00,14.2
2018-01-02 14:15:00,14.23
2018-01-02 14:30:00,14.23
2018-01-02 14:45:00,14.32
2018-01-02 15:00:00,14.33
2018-01-03 09:45:00,15.32
2018-01-03 10:00:00,15.3
2018-01-03 10:15:00,15.24
2018-01-03 10:30:00,15.03
2018-01-03 10:45:00,15.19
2018-01-03 11:00:00,15.19
2018-01-03 11:15:00,15.16
2018-01-03 11:30:00,15.17
2018-01-03 13:15:00,15.22
2018-01-03 13:30:00,15.2
2018-01-03 13:45:00,15.13
2018-01-03 14:00:00,15.13
2018-01-03 14:15:00,15.19
2018-01-03 14:30:00,15.17
2018-01-03 14:45:00,15.13
2018-01-03 15:00:00,15.14
2018-01-04 09:45:00,14.82
2018-01-04 10:00:00,14.86
2018-01-04 10:15:00,14.7
2018-01-04 10:30:00,14.75
2018-01-04 10:45:00,14.71
2018-01-04 11:00:00,14.8
2018-01-04 11:15:00,14.82
2018-01-04 11:30:00,14.85
2018-01-04 13:15:00,14.9
2018-01-04 13:30:00,14.88
2018-01-04 13:45:00,14.87
2018-01-04 14:00:00,14.87
2018-01-04 14:15:00,14.83
2018-01-04 14:30:00,14.83
2018-01-04 14:45:00,14.72
2018-01-04 15:00:00,14.76
2018-01-05 09:45:00,14.79
2018-01-05 10:00:00,14.87
2018-01-05 10:15:00,14.76
2018-01-05 10:30:00,14.87
2018-01-05 10:45:00,14.93
2018-01-05 11:00:00,15.06
2018-01-05 11:15:00,15.15
2018-01-05 11:30:00,15.08
2018-01-05 13:15:00,15.01
2018-01-05 13:30:00,15.11
2018-01-05 13:45:00,15.05
2018-01-05 14:00:00,15.08
2018-01-05 14:15:00,15.11
2018-01-05 14:30:00,15.07
2018-01-05 14:45:00,15.11
2018-01-05 15:00:00,15.14
2018-01-08 09:45:00,14.83
2018-01-08 10:00:00,14.95
2018-01-08 10:15:00,14.9
2018-01-08 10:30:00,14.87
2018-01-08 10:45:00,14.89
2018-01-08 11:00:00,14.89
2018-01-08 11:15:00,14.86
2018-01-08 11:30:00,14.86
2018-01-08 13:15:00,14.84
2018-01-08 13:30:00,14.85
2018-01-08 13:45:00,14.81
2018-01-08 14:00:00,14.84
2018-01-08 14:15:00,14.82
2018-01-08 14:30:00,14.93
2018-01-08 14:45:00,14.93
2018-01-08 15:00:00,14.92
2018-01-09 09:45:00,15.01
2018-01-09 10:00:00,15.0
2018-01-09 10:15:00,15.04
2018-01-09 10:30:00,15.08
2018-01-09 10:45:00,14.97
2018-01-09 11:00:00,14.93
2018-01-09 11:15:00,14.86
2018-01-09 11:30:00,14.87
2018-01-09 13:15:00,14.84
2018-01-09 13:30:00,14.84
2018-01-09 13:45:00,14.84
2018-01-09 14:00:00,14.83
2018-01-09 14:15:00,14.85
2018-01-09 14:30:00,14.83
2018-01-09 14:45:00,14.81
2018-01-09 15:00:00,14.77
2018-01-10 09:45:00,14.7
2018-01-10 10:00:00,14.75
2018-01-10 10:15:00,14.7
2018-01-10 10:30:00,14.66
2018-01-10 10:45:00,14.62
2018-01-10 11:00:00,14.6
2018-01-10 11:15:00,14.58
2018-01-10 11:30:00,14.55
2018-01-10 13:15:00,14.53
2018-01-10 13:30:00,14.37
2018-01-10 13:45:00,14.39
2018-01-10 14:00:00,14.39
2018-01-10 14:15:00,14.37
2018-01-10 14:30:00,14.44
2018-01-10 14:45:00,14.48
2018-01-10 15:00:00,14.4
2018-01-11 09:45:00,14.31
2018-01-11 10:00:00,14.27
2018-01-11 10:15:00,14.32
2018-01-11 10:30:00,14.35
2018-01-11 10:45:00,14.55
2018-01-11 11:00:00,14.74
2018-01-11 11:15:00,14.67
2018-01-11 11:30:00,14.64
2018-01-11 13:15:00,14.65
2018-01-11 13:30:00,14.66
2018-01-11 13:45:00,14.7
2018-01-11 14:00:00,14.68
