,DateTime,f,e,spread,level,position,signal,pair1_share,pair2_share,cash,asset
3947,2020-10-16 10:00:00,10.45,6.03,-0.06639385727485059,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3948,2020-10-16 10:15:00,10.45,5.98,-0.06340519872248351,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3949,2020-10-16 10:30:00,10.4,5.98,-0.06820137098597656,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3950,2020-10-16 10:45:00,10.43,6.02,-0.06771382243929791,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3951,2020-10-16 11:00:00,10.43,6.02,-0.06771382243929791,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3952,2020-10-16 11:15:00,10.41,6.0,-0.06843874576472198,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3953,2020-10-16 11:30:00,10.38,5.96,-0.06892383321767914,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3954,2020-10-16 13:15:00,10.37,5.96,-0.06988768871398632,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3955,2020-10-16 13:30:00,10.35,5.96,-0.0718181912440441,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3956,2020-10-16 13:45:00,10.38,5.97,-0.06952556985215619,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3957,2020-10-16 14:00:00,10.38,5.95,-0.06832108610979004,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3958,2020-10-16 14:15:00,10.39,5.93,-0.0661496194855653,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3959,2020-10-16 14:30:00,10.4,5.93,-0.06518761844937426,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3960,2020-10-16 14:45:00,10.4,5.96,-0.066998904808095,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3961,2020-10-16 15:00:00,10.4,5.95,-0.0663961577002059,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3962,2020-10-19 09:45:00,10.65,5.96,-0.04324481879998787,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3963,2020-10-19 10:00:00,10.61,5.91,-0.04398384980934944,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3964,2020-10-19 10:15:00,10.6,5.91,-0.04492680131721993,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3965,2020-10-19 10:30:00,10.54,5.89,-0.049386526569108025,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3966,2020-10-19 10:45:00,10.57,5.86,-0.044711402063945194,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3967,2020-10-19 11:00:00,10.53,5.84,-0.04727574360187914,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3968,2020-10-19 11:15:00,10.54,5.86,-0.047553658832875545,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3969,2020-10-19 11:30:00,10.5,5.82,-0.04889747066176797,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3970,2020-10-19 13:15:00,10.44,5.81,-0.05401088671751442,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3971,2020-10-19 13:30:00,10.38,5.81,-0.059774591434264224,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3972,2020-10-19 13:45:00,10.41,5.79,-0.0556508756000782,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3973,2020-10-19 14:00:00,10.4,5.82,-0.05846692167791856,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3974,2020-10-19 14:15:00,10.38,5.8,-0.05915626945809982,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3975,2020-10-19 14:30:00,10.37,5.79,-0.05950073598551997,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3976,2020-10-19 14:45:00,10.37,5.82,-0.06135570558380987,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3977,2020-10-19 15:00:00,10.4,5.82,-0.05846692167791856,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3978,2020-10-20 09:45:00,10.21,5.78,-0.07442966639994397,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3979,2020-10-20 10:00:00,10.28,5.79,-0.06821749819993661,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3980,2020-10-20 10:15:00,10.28,5.83,-0.07068866677943664,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3981,2020-10-20 10:30:00,10.29,5.8,-0.06786459734988459,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3982,2020-10-20 10:45:00,10.29,5.82,-0.06910017797928747,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3983,2020-10-20 11:00:00,10.26,5.8,-0.07078430745321929,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3984,2020-10-20 11:15:00,10.28,5.81,-0.06945520914498804,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3985,2020-10-20 11:30:00,10.3,5.84,-0.06936017451217324,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3986,2020-10-20 13:15:00,10.34,5.83,-0.06486905772617257,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3987,2020-10-20 13:30:00,10.4,5.83,-0.059083120659128685,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3988,2020-10-20 13:45:00,10.39,5.83,-0.060045121695319725,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3989,2020-10-20 14:00:00,10.4,5.9,-0.06336714547642863,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3990,2020-10-20 14:15:00,10.4,5.89,-0.06275826353499703,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3991,2020-10-20 14:30:00,10.39,5.89,-0.06372026457118807,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3992,2020-10-20 14:45:00,10.42,5.91,-0.06205376611002045,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3993,2020-10-20 15:00:00,10.42,5.92,-0.0626605892780554,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3994,2020-10-21 09:45:00,10.3,5.89,-0.0724201744467341,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3995,2020-10-21 10:00:00,10.26,5.84,-0.07325123000513978,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
