,DateTime,e,d,spread,level,position,signal,pair1_share,pair2_share,cash,asset
49,2019-10-11 10:00:00,4.37,9.84,0.0017067050023005237,0,0,0,0,0.0,5000.0,5000.0
50,2019-10-11 10:15:00,4.38,9.86,0.0015376926150718617,0,0,0,0,0.0,5000.0,5000.0
51,2019-10-11 10:30:00,4.38,9.83,0.00522165573342015,0,0,0,0,0.0,5000.0,5000.0
52,2019-10-11 10:45:00,4.39,9.81,0.009964385273435017,0,0,0,0,0.0,5000.0,5000.0
53,2019-10-11 11:00:00,4.39,9.81,0.009964385273435017,0,0,0,0,0.0,5000.0,5000.0
54,2019-10-11 11:15:00,4.39,9.83,0.0075021584321453005,0,0,0,0,0.0,5000.0,5000.0
55,2019-10-11 11:30:00,4.4,9.84,0.008548236819017285,0,0,0,0,0.0,5000.0,5000.0
56,2019-10-11 13:15:00,4.41,9.85,0.009590398492079766,0,0,0,0,0.0,5000.0,5000.0
57,2019-10-11 13:30:00,4.42,9.87,0.009403167038369187,0,0,0,0,0.0,5000.0,5000.0
58,2019-10-11 13:45:00,4.42,9.87,0.009403167038369187,0,0,0,0,0.0,5000.0,5000.0
59,2019-10-11 14:00:00,4.42,9.86,0.01062866431632381,0,0,0,0,0.0,5000.0,5000.0
60,2019-10-11 14:15:00,4.45,9.86,0.017393064404865877,1,0,0,0,0.0,5000.0,5000.0
61,2019-10-11 14:30:00,4.43,9.86,0.0128885522837614,0,0,2,0,0.0,5000.0,5000.0
62,2019-10-11 14:45:00,4.43,9.84,0.015343279951846034,1,0,0,0,0.0,5000.0,5000.0
63,2019-10-11 15:00:00,4.43,9.82,0.017803001982819255,1,0,0,0,0.0,5000.0,5000.0
64,2019-10-14 09:45:00,4.54,9.88,0.03496622673417815,1,0,0,0,0.0,5000.0,5000.0
65,2019-10-14 10:00:00,4.58,9.93,0.037635459003952265,1,0,0,0,0.0,5000.0,5000.0
66,2019-10-14 10:15:00,4.56,9.99,0.02597621321590915,1,0,0,0,0.0,5000.0,5000.0
67,2019-10-14 10:30:00,4.56,9.97,0.028398965451943647,1,0,0,0,0.0,5000.0,5000.0
68,2019-10-14 10:45:00,4.57,9.97,0.030589546831762293,1,0,0,0,0.0,5000.0,5000.0
69,2019-10-14 11:00:00,4.55,9.96,0.027416774148553147,1,0,0,0,0.0,5000.0,5000.0
70,2019-10-14 11:15:00,4.56,9.95,0.030826582655573587,1,0,0,0,0.0,5000.0,5000.0
71,2019-10-14 11:30:00,4.53,9.91,0.029095806362096965,1,0,0,0,0.0,5000.0,5000.0
72,2019-10-14 13:15:00,4.54,9.94,0.027646610260507964,1,0,0,0,0.0,5000.0,5000.0
73,2019-10-14 13:30:00,4.51,9.93,0.022233614392445533,1,0,0,0,0.0,5000.0,5000.0
74,2019-10-14 13:45:00,4.54,9.93,0.02886347293111524,1,0,0,0,0.0,5000.0,5000.0
75,2019-10-14 14:00:00,4.54,9.93,0.02886347293111524,1,0,0,0,0.0,5000.0,5000.0
76,2019-10-14 14:15:00,4.54,9.93,0.02886347293111524,1,0,0,0,0.0,5000.0,5000.0
77,2019-10-14 14:30:00,4.53,9.93,0.026658400372801427,1,0,0,0,0.0,5000.0,5000.0
78,2019-10-14 14:45:00,4.53,9.91,0.029095806362096965,1,0,0,0,0.0,5000.0,5000.0
79,2019-10-14 15:00:00,4.54,9.94,0.027646610260507964,1,0,0,0,0.0,5000.0,5000.0
80,2019-10-15 09:45:00,4.49,9.88,0.023891916435084593,1,0,0,0,0.0,5000.0,5000.0
81,2019-10-15 10:00:00,4.52,9.86,0.0330009620708569,1,0,0,0,0.0,5000.0,5000.0
82,2019-10-15 10:15:00,4.5,9.77,0.03965210406586395,1,0,0,0,0.0,5000.0,5000.0
83,2019-10-15 10:30:00,4.51,9.75,0.04434922429644472,1,0,0,0,0.0,5000.0,5000.0
84,2019-10-15 10:45:00,4.52,9.83,0.036684925189205186,1,0,0,0,0.0,5000.0,5000.0
